id,fen,engine,bestmove,eval,wins,draws,losses,depth,seldepth,nodes,time,hashfull
312,nbqrbkrn/pppppppp/8/8/8/8/PPPPPPPP/NBQRBKRN w KQkq - 0 1,Stockfish 17.1,c4,0.45,126,868,6,10,24,100559,0.021,2
313,nqrbbkrn/pppppppp/8/8/8/8/PPPPPPPP/NQRBBKRN w KQkq - 0 1,Stockfish 17.1,c4,0.26,68,921,11,11,20,100297,0.021,3
314,nqrkbbrn/pppppppp/8/8/8/8/PPPPPPPP/NQRKBBRN w KQkq - 0 1,Stockfish 17.1,c4,1.16,636,364,0,11,19,100846,0.02,4
315,nqrkbrnb/pppppppp/8/8/8/8/PPPPPPPP/NQRKBRNB w KQkq - 0 1,Stockfish 17.1,c4,0.29,73,917,10,10,16,100194,0.02,3
316,nbqrkrbn/pppppppp/8/8/8/8/PPPPPPPP/NBQRKRBN w KQkq - 0 1,Stockfish 17.1,c4,0.4,105,888,7,11,14,101079,0.017,3
317,nqrbkrbn/pppppppp/8/8/8/8/PPPPPPPP/NQRBKRBN w KQkq - 0 1,Stockfish 17.1,f4,0.78,311,687,2,10,24,102261,0.019,3
318,nqrkrbbn/pppppppp/8/8/8/8/PPPPPPPP/NQRKRBBN w KQkq - 0 1,Stockfish 17.1,b4,0.33,85,906,9,12,20,100439,0.016,4
319,nqrkrnbb/pppppppp/8/8/8/8/PPPPPPPP/NQRKRNBB w KQkq - 0 1,Stockfish 17.1,f4,0.33,84,907,9,12,17,100565,0.018,4
320,bbnrqkrn/pppppppp/8/8/8/8/PPPPPPPP/BBNRQKRN w KQkq - 0 1,Stockfish 17.1,c4,0.38,98,895,7,11,14,100979,0.018,3
321,bnrbqkrn/pppppppp/8/8/8/8/PPPPPPPP/BNRBQKRN w KQkq - 0 1,Stockfish 17.1,b4,0.3,77,913,10,11,19,100973,0.021,4
322,bnrqkbrn/pppppppp/8/8/8/8/PPPPPPPP/BNRQKBRN w KQkq - 0 1,Stockfish 17.1,e3,0.77,309,689,2,11,22,100348,0.019,1
323,bnrqkrnb/pppppppp/8/8/8/8/PPPPPPPP/BNRQKRNB w KQkq - 0 1,Stockfish 17.1,b4,0.15,46,937,17,11,19,100694,0.024,4
324,nbbrqkrn/pppppppp/8/8/8/8/PPPPPPPP/NBBRQKRN w KQkq - 0 1,Stockfish 17.1,c4,0.28,72,918,10,11,21,100620,0.022,5
325,nrbbqkrn/pppppppp/8/8/8/8/PPPPPPPP/NRBBQKRN w KQkq - 0 1,Stockfish 17.1,f4,0.37,97,895,8,11,17,100450,0.021,5
326,nrbqkbrn/pppppppp/8/8/8/8/PPPPPPPP/NRBQKBRN w KQkq - 0 1,Stockfish 17.1,e4,0.3,76,914,10,10,14,100296,0.023,4
327,nrbqkrnb/pppppppp/8/8/8/8/PPPPPPPP/NRBQKRNB w KQkq - 0 1,Stockfish 17.1,Nf3,0.25,65,923,12,13,14,100608,0.02,3
328,nbrqbkrn/pppppppp/8/8/8/8/PPPPPPPP/NBRQBKRN w KQkq - 0 1,Stockfish 17.1,c4,0.58,186,810,4,12,16,100975,0.022,2
329,nrqbbkrn/pppppppp/8/8/8/8/PPPPPPPP/NRQBBKRN w KQkq - 0 1,Stockfish 17.1,b4,0.37,96,896,8,12,21,100093,0.023,5
330,nrqkbbrn/pppppppp/8/8/8/8/PPPPPPPP/NRQKBBRN w KQkq - 0 1,Stockfish 17.1,c4,0.35,90,902,8,11,16,100665,0.025,5
331,nrqkbrnb/pppppppp/8/8/8/8/PPPPPPPP/NRQKBRNB w KQkq - 0 1,Stockfish 17.1,d3,0.4,107,886,7,10,17,100389,0.023,5
332,nbrqkrbn/pppppppp/8/8/8/8/PPPPPPPP/NBRQKRBN w KQkq - 0 1,Stockfish 17.1,f4,0.61,197,800,3,11,20,101566,0.023,4
333,nrqbkrbn/pppppppp/8/8/8/8/PPPPPPPP/NRQBKRBN w KQkq - 0 1,Stockfish 17.1,f4,0.66,227,770,3,11,23,100242,0.02,5
334,nrqkrbbn/pppppppp/8/8/8/8/PPPPPPPP/NRQKRBBN w KQkq - 0 1,Stockfish 17.1,f3,0.57,177,819,4,11,21,100192,0.019,3
335,nrqkrnbb/pppppppp/8/8/8/8/PPPPPPPP/NRQKRNBB w KQkq - 0 1,Stockfish 17.1,g3,0.72,271,727,2,11,18,100960,0.017,3
336,bbnrkqrn/pppppppp/8/8/8/8/PPPPPPPP/BBNRKQRN w KQkq - 0 1,Stockfish 17.1,c4,0.48,136,859,5,10,20,100102,0.018,3
337,bnrbkqrn/pppppppp/8/8/8/8/PPPPPPPP/BNRBKQRN w KQkq - 0 1,Stockfish 17.1,e3,0.25,66,923,11,11,23,100887,0.022,4
338,bnrkqbrn/pppppppp/8/8/8/8/PPPPPPPP/BNRKQBRN w KQkq - 0 1,Stockfish 17.1,d4,0.27,69,920,11,13,20,100366,0.015,3
339,bnrkqrnb/pppppppp/8/8/8/8/PPPPPPPP/BNRKQRNB w KQkq - 0 1,Stockfish 17.1,g4,0.15,47,937,16,10,16,100831,0.022,3
340,nbbrkqrn/pppppppp/8/8/8/8/PPPPPPPP/NBBRKQRN w KQkq - 0 1,Stockfish 17.1,c4,0.41,110,883,7,11,18,100167,0.02,5
341,nrbbkqrn/pppppppp/8/8/8/8/PPPPPPPP/NRBBKQRN w KQkq - 0 1,Stockfish 17.1,f4,0.47,131,864,5,11,17,100231,0.021,3
342,nrbkqbrn/pppppppp/8/8/8/8/PPPPPPPP/NRBKQBRN w KQkq - 0 1,Stockfish 17.1,d4,0.61,202,795,3,12,18,100422,0.023,4
343,nrbkqrnb/pppppppp/8/8/8/8/PPPPPPPP/NRBKQRNB w KQkq - 0 1,Stockfish 17.1,d3,0.38,100,893,7,11,18,100434,0.02,3
344,nbrkbqrn/pppppppp/8/8/8/8/PPPPPPPP/NBRKBQRN w KQkq - 0 1,Stockfish 17.1,f4,0.5,147,848,5,13,18,100725,0.023,2
345,nrkbbqrn/pppppppp/8/8/8/8/PPPPPPPP/NRKBBQRN w KQkq - 0 1,Stockfish 17.1,d4,0.41,108,885,7,13,16,100212,0.026,3
346,nrkqbbrn/pppppppp/8/8/8/8/PPPPPPPP/NRKQBBRN w KQkq - 0 1,Stockfish 17.1,c4,0.35,90,902,8,10,19,108412,0.028,4
347,nrkqbrnb/pppppppp/8/8/8/8/PPPPPPPP/NRKQBRNB w KQkq - 0 1,Stockfish 17.1,g3,0.38,99,894,7,11,16,100401,0.027,3
348,nbrkqrbn/pppppppp/8/8/8/8/PPPPPPPP/NBRKQRBN w KQkq - 0 1,Stockfish 17.1,c4,0.61,202,795,3,11,19,100056,0.026,3
349,nrkbqrbn/pppppppp/8/8/8/8/PPPPPPPP/NRKBQRBN w KQkq - 0 1,Stockfish 17.1,f4,0.52,155,841,4,11,17,101486,0.025,3
350,nrkqrbbn/pppppppp/8/8/8/8/PPPPPPPP/NRKQRBBN w KQkq - 0 1,Stockfish 17.1,f4,0.36,95,897,8,10,20,100118,0.025,4
351,nrkqrnbb/pppppppp/8/8/8/8/PPPPPPPP/NRKQRNBB w KQkq - 0 1,Stockfish 17.1,f4,0.34,86,905,9,12,19,100789,0.024,4
352,bbnrkrqn/pppppppp/8/8/8/8/PPPPPPPP/BBNRKRQN w KQkq - 0 1,Stockfish 17.1,c4,0.33,84,907,9,11,21,100496,0.023,3
353,bnrbkrqn/pppppppp/8/8/8/8/PPPPPPPP/BNRBKRQN w KQkq - 0 1,Stockfish 17.1,f4,0.33,84,907,9,10,27,100343,0.024,5
354,bnrkrbqn/pppppppp/8/8/8/8/PPPPPPPP/BNRKRBQN w KQkq - 0 1,Stockfish 17.1,f4,0.29,73,917,10,11,23,101763,0.021,1
355,bnrkrqnb/pppppppp/8/8/8/8/PPPPPPPP/BNRKRQNB w KQkq - 0 1,Stockfish 17.1,g4,0.45,125,869,6,11,17,100311,0.025,5
356,nbbrkrqn/pppppppp/8/8/8/8/PPPPPPPP/NBBRKRQN w KQkq - 0 1,Stockfish 17.1,g4,0.41,111,882,7,10,18,100178,0.021,6
357,nrbbkrqn/pppppppp/8/8/8/8/PPPPPPPP/NRBBKRQN w KQkq - 0 1,Stockfish 17.1,f4,0.73,280,718,2,12,19,103105,0.026,6
358,nrbkrbqn/pppppppp/8/8/8/8/PPPPPPPP/NRBKRBQN w KQkq - 0 1,Stockfish 17.1,f3,0.63,211,786,3,11,15,100529,0.021,5
359,nrbkrqnb/pppppppp/8/8/8/8/PPPPPPPP/NRBKRQNB w KQkq - 0 1,Stockfish 17.1,e4,0.26,67,922,11,12,17,100506,0.02,4
360,nbrkbrqn/pppppppp/8/8/8/8/PPPPPPPP/NBRKBRQN w KQkq - 0 1,Stockfish 17.1,c4,0.48,134,861,5,11,23,103176,0.025,2
361,nrkbbrqn/pppppppp/8/8/8/8/PPPPPPPP/NRKBBRQN w KQkq - 0 1,Stockfish 17.1,g4,0.36,95,897,8,11,15,104828,0.026,5
362,nrkrbbqn/pppppppp/8/8/8/8/PPPPPPPP/NRKRBBQN w KQkq - 0 1,Stockfish 17.1,e4,0.36,92,900,8,12,21,100583,0.025,7
363,nrkrbqnb/pppppppp/8/8/8/8/PPPPPPPP/NRKRBQNB w KQkq - 0 1,Stockfish 17.1,g4,0.44,122,872,6,9,17,100563,0.102,5
364,nbrkrqbn/pppppppp/8/8/8/8/PPPPPPPP/NBRKRQBN w KQkq - 0 1,Stockfish 17.1,f4,0.2,54,932,14,10,18,103199,0.037,3
365,nrkbrqbn/pppppppp/8/8/8/8/PPPPPPPP/NRKBRQBN w KQkq - 0 1,Stockfish 17.1,f4,0.48,135,860,5,11,19,101142,0.026,5
366,nrkrqbbn/pppppppp/8/8/8/8/PPPPPPPP/NRKRQBBN w KQkq - 0 1,Stockfish 17.1,f3,0.38,100,893,7,11,19,100652,0.023,3
367,nrkrqnbb/pppppppp/8/8/8/8/PPPPPPPP/NRKRQNBB w KQkq - 0 1,Stockfish 17.1,f4,0.32,83,908,9,10,21,100681,0.021,3
368,bbnrkrnq/pppppppp/8/8/8/8/PPPPPPPP/BBNRKRNQ w KQkq - 0 1,Stockfish 17.1,b4,0.34,88,904,8,11,16,100390,0.023,3
369,bnrbkrnq/pppppppp/8/8/8/8/PPPPPPPP/BNRBKRNQ w KQkq - 0 1,Stockfish 17.1,b4,0.33,85,906,9,11,16,100744,0.025,5
370,bnrkrbnq/pppppppp/8/8/8/8/PPPPPPPP/BNRKRBNQ w KQkq - 0 1,Stockfish 17.1,Nf3,0.18,51,934,15,12,20,100195,0.02,4
371,bnrkrnqb/pppppppp/8/8/8/8/PPPPPPPP/BNRKRNQB w KQkq - 0 1,Stockfish 17.1,b3,0.24,63,925,12,10,12,101481,0.022,3
372,nbbrkrnq/pppppppp/8/8/8/8/PPPPPPPP/NBBRKRNQ w KQkq - 0 1,Stockfish 17.1,c4,0.15,47,937,16,13,19,100035,0.017,5
373,nrbbkrnq/pppppppp/8/8/8/8/PPPPPPPP/NRBBKRNQ w KQkq - 0 1,Stockfish 17.1,f4,0.67,237,760,3,11,13,100076,0.02,3
374,nrbkrbnq/pppppppp/8/8/8/8/PPPPPPPP/NRBKRBNQ w KQkq - 0 1,Stockfish 17.1,e4,0.36,95,897,8,10,17,100322,0.018,5
375,nrbkrnqb/pppppppp/8/8/8/8/PPPPPPPP/NRBKRNQB w KQkq - 0 1,Stockfish 17.1,f4,0.47,131,864,5,12,17,100860,0.018,4
376,nbrkbrnq/pppppppp/8/8/8/8/PPPPPPPP/NBRKBRNQ w KQkq - 0 1,Stockfish 17.1,g3,0.26,68,921,11,11,21,100596,0.016,3
377,nrkbbrnq/pppppppp/8/8/8/8/PPPPPPPP/NRKBBRNQ w KQkq - 0 1,Stockfish 17.1,e4,0.3,76,914,10,10,17,100382,0.018,3
378,nrkrbbnq/pppppppp/8/8/8/8/PPPPPPPP/NRKRBBNQ w KQkq - 0 1,Stockfish 17.1,e4,0.41,108,885,7,10,17,100787,0.018,4
379,nrkrbnqb/pppppppp/8/8/8/8/PPPPPPPP/NRKRBNQB w KQkq - 0 1,Stockfish 17.1,f4,0.4,107,886,7,11,18,100779,0.017,4
380,nbrkrnbq/pppppppp/8/8/8/8/PPPPPPPP/NBRKRNBQ w KQkq - 0 1,Stockfish 17.1,O-O-O,0.16,48,936,16,12,21,101260,0.014,4
381,nrkbrnbq/pppppppp/8/8/8/8/PPPPPPPP/NRKBRNBQ w KQkq - 0 1,Stockfish 17.1,f4,0.48,138,857,5,11,18,100744,0.018,3
382,nrkrnbbq/pppppppp/8/8/8/8/PPPPPPPP/NRKRNBBQ w KQkq - 0 1,Stockfish 17.1,f4,0.34,86,905,9,9,16,100594,0.02,4
383,nrkrnqbb/pppppppp/8/8/8/8/PPPPPPPP/NRKRNQBB w KQkq - 0 1,Stockfish 17.1,g4,0.27,71,918,11,11,19,100301,0.016,4
384,bbqrnnkr/pppppppp/8/8/8/8/PPPPPPPP/BBQRNNKR w KQkq - 0 1,Stockfish 17.1,b4,0.39,101,892,7,11,20,101544,0.015,4
385,bqrbnnkr/pppppppp/8/8/8/8/PPPPPPPP/BQRBNNKR w KQkq - 0 1,Stockfish 17.1,h4,0.3,77,913,10,12,16,100497,0.018,5
386,bqrnnbkr/pppppppp/8/8/8/8/PPPPPPPP/BQRNNBKR w KQkq - 0 1,Stockfish 17.1,b4,0.28,72,918,10,13,17,100225,0.019,2
387,bqrnnkrb/pppppppp/8/8/8/8/PPPPPPPP/BQRNNKRB w KQkq - 0 1,Stockfish 17.1,b4,0.17,50,935,15,10,20,100546,0.021,5
388,qbbrnnkr/pppppppp/8/8/8/8/PPPPPPPP/QBBRNNKR w KQkq - 0 1,Stockfish 17.1,c4,0.27,70,919,11,10,16,100844,0.019,6
389,qrbbnnkr/pppppppp/8/8/8/8/PPPPPPPP/QRBBNNKR w KQkq - 0 1,Stockfish 17.1,c4,0.41,110,883,7,11,15,100339,0.022,6
390,qrbnnbkr/pppppppp/8/8/8/8/PPPPPPPP/QRBNNBKR w KQkq - 0 1,Stockfish 17.1,h4,0.25,65,923,12,11,15,100990,0.022,5
391,qrbnnkrb/pppppppp/8/8/8/8/PPPPPPPP/QRBNNKRB w KQkq - 0 1,Stockfish 17.1,b4,0.26,67,922,11,11,14,100358,0.023,4
392,qbrnbnkr/pppppppp/8/8/8/8/PPPPPPPP/QBRNBNKR w KQkq - 0 1,Stockfish 17.1,d4,0.35,91,901,8,9,15,100035,0.023,3
393,qrnbbnkr/pppppppp/8/8/8/8/PPPPPPPP/QRNBBNKR w KQkq - 0 1,Stockfish 17.1,h4,0.43,116,878,6,11,20,100102,0.02,5
394,qrnnbbkr/pppppppp/8/8/8/8/PPPPPPPP/QRNNBBKR w KQkq - 0 1,Stockfish 17.1,h4,0.35,91,901,8,11,18,100337,0.02,7
395,qrnnbkrb/pppppppp/8/8/8/8/PPPPPPPP/QRNNBKRB w KQkq - 0 1,Stockfish 17.1,c4,0.31,79,912,9,10,17,100325,0.02,5
396,qbrnnkbr/pppppppp/8/8/8/8/PPPPPPPP/QBRNNKBR w KQkq - 0 1,Stockfish 17.1,h4,0.12,42,940,18,10,18,100791,0.017,4
397,qrnbnkbr/pppppppp/8/8/8/8/PPPPPPPP/QRNBNKBR w KQkq - 0 1,Stockfish 17.1,e4,0.57,179,817,4,11,17,100423,0.018,6
398,qrnnkbbr/pppppppp/8/8/8/8/PPPPPPPP/QRNNKBBR w KQkq - 0 1,Stockfish 17.1,f3,0.26,68,921,11,12,16,100567,0.016,3
399,qrnnkrbb/pppppppp/8/8/8/8/PPPPPPPP/QRNNKRBB w KQkq - 0 1,Stockfish 17.1,b4,1.06,550,449,1,12,17,100327,0.017,4
400,bbrqnnkr/pppppppp/8/8/8/8/PPPPPPPP/BBRQNNKR w KQkq - 0 1,Stockfish 17.1,h4,0.23,61,927,12,13,19,101242,0.017,3
401,brqbnnkr/pppppppp/8/8/8/8/PPPPPPPP/BRQBNNKR w KQkq - 0 1,Stockfish 17.1,h4,0.4,107,886,7,12,23,100430,0.018,6
402,brqnnbkr/pppppppp/8/8/8/8/PPPPPPPP/BRQNNBKR w KQkq - 0 1,Stockfish 17.1,h4,0.13,44,939,17,12,19,100359,0.017,4
403,brqnnkrb/pppppppp/8/8/8/8/PPPPPPPP/BRQNNKRB w KQkq - 0 1,Stockfish 17.1,b4,0.1,39,941,20,12,19,100910,0.021,3
404,rbbqnnkr/pppppppp/8/8/8/8/PPPPPPPP/RBBQNNKR w KQkq - 0 1,Stockfish 17.1,e4,0.29,75,915,10,12,21,100554,0.017,5
405,rqbbnnkr/pppppppp/8/8/8/8/PPPPPPPP/RQBBNNKR w KQkq - 0 1,Stockfish 17.1,e4,0.47,131,864,5,12,23,100533,0.016,4
406,rqbnnbkr/pppppppp/8/8/8/8/PPPPPPPP/RQBNNBKR w KQkq - 0 1,Stockfish 17.1,e4,0.29,74,916,10,11,17,100117,0.016,6
407,rqbnnkrb/pppppppp/8/8/8/8/PPPPPPPP/RQBNNKRB w KQkq - 0 1,Stockfish 17.1,c3,0.25,65,923,12,11,17,100924,0.017,3
408,rbqnbnkr/pppppppp/8/8/8/8/PPPPPPPP/RBQNBNKR w KQkq - 0 1,Stockfish 17.1,d4,0.63,212,785,3,10,15,100548,0.017,4
409,rqnbbnkr/pppppppp/8/8/8/8/PPPPPPPP/RQNBBNKR w KQkq - 0 1,Stockfish 17.1,d4,0.35,91,901,8,11,16,100446,0.018,4
410,rqnnbbkr/pppppppp/8/8/8/8/PPPPPPPP/RQNNBBKR w KQkq - 0 1,Stockfish 17.1,d4,0.3,77,913,10,11,23,100093,0.018,5
411,rqnnbkrb/pppppppp/8/8/8/8/PPPPPPPP/RQNNBKRB w KQkq - 0 1,Stockfish 17.1,g3,0.38,99,894,7,12,16,100713,0.016,4
412,rbqnnkbr/pppppppp/8/8/8/8/PPPPPPPP/RBQNNKBR w KQkq - 0 1,Stockfish 17.1,d4,0.62,208,789,3,12,16,100891,0.017,4
413,rqnbnkbr/pppppppp/8/8/8/8/PPPPPPPP/RQNBNKBR w KQkq - 0 1,Stockfish 17.1,h4,0.2,55,931,14,11,14,100328,0.02,3
414,rqnnkbbr/pppppppp/8/8/8/8/PPPPPPPP/RQNNKBBR w KQkq - 0 1,Stockfish 17.1,d4,0.33,85,906,9,13,24,100265,0.016,4
415,rqnnkrbb/pppppppp/8/8/8/8/PPPPPPPP/RQNNKRBB w KQkq - 0 1,Stockfish 17.1,e4,0.52,151,844,5,12,20,100463,0.016,4
416,bbrnqnkr/pppppppp/8/8/8/8/PPPPPPPP/BBRNQNKR w KQkq - 0 1,Stockfish 17.1,h4,0.46,128,866,6,11,17,100615,0.017,4
417,brnbqnkr/pppppppp/8/8/8/8/PPPPPPPP/BRNBQNKR w KQkq - 0 1,Stockfish 17.1,h4,0.24,64,924,12,12,23,100609,0.016,5
418,brnqnbkr/pppppppp/8/8/8/8/PPPPPPPP/BRNQNBKR w KQkq - 0 1,Stockfish 17.1,h4,0.21,57,930,13,11,17,100024,0.017,2
419,brnqnkrb/pppppppp/8/8/8/8/PPPPPPPP/BRNQNKRB w KQkq - 0 1,Stockfish 17.1,g3,0.26,68,921,11,12,16,100026,0.017,5
420,rbbnqnkr/pppppppp/8/8/8/8/PPPPPPPP/RBBNQNKR w KQkq - 0 1,Stockfish 17.1,d4,0.28,72,918,10,13,18,100642,0.017,6
421,rnbbqnkr/pppppppp/8/8/8/8/PPPPPPPP/RNBBQNKR w KQkq - 0 1,Stockfish 17.1,d4,0.25,65,923,12,12,18,100182,0.018,6
422,rnbqnbkr/pppppppp/8/8/8/8/PPPPPPPP/RNBQNBKR w KQkq - 0 1,Stockfish 17.1,d4,0.2,54,932,14,11,16,101248,0.019,5
423,rnbqnkrb/pppppppp/8/8/8/8/PPPPPPPP/RNBQNKRB w KQkq - 0 1,Stockfish 17.1,d4,0.08,36,943,21,11,19,100847,0.018,4
424,rbnqbnkr/pppppppp/8/8/8/8/PPPPPPPP/RBNQBNKR w KQkq - 0 1,Stockfish 17.1,h4,0.31,78,912,10,13,17,100208,0.017,3
425,rnqbbnkr/pppppppp/8/8/8/8/PPPPPPPP/RNQBBNKR w KQkq - 0 1,Stockfish 17.1,d4,0.37,97,895,8,11,21,100133,0.019,6
426,rnqnbbkr/pppppppp/8/8/8/8/PPPPPPPP/RNQNBBKR w KQkq - 0 1,Stockfish 17.1,d4,0.29,73,917,10,11,24,101089,0.017,7
427,rnqnbkrb/pppppppp/8/8/8/8/PPPPPPPP/RNQNBKRB w KQkq - 0 1,Stockfish 17.1,d4,0.32,82,909,9,10,16,100299,0.018,6
428,rbnqnkbr/pppppppp/8/8/8/8/PPPPPPPP/RBNQNKBR w KQkq - 0 1,Stockfish 17.1,d4,0.2,54,932,14,10,18,100919,0.017,4
429,rnqbnkbr/pppppppp/8/8/8/8/PPPPPPPP/RNQBNKBR w KQkq - 0 1,Stockfish 17.1,e4,0.31,80,911,9,10,16,100849,0.019,6
430,rnqnkbbr/pppppppp/8/8/8/8/PPPPPPPP/RNQNKBBR w KQkq - 0 1,Stockfish 17.1,d4,0.8,330,668,2,11,15,100192,0.018,3
431,rnqnkrbb/pppppppp/8/8/8/8/PPPPPPPP/RNQNKRBB w KQkq - 0 1,Stockfish 17.1,f4,0.15,46,937,17,11,19,100465,0.017,4
432,bbrnnqkr/pppppppp/8/8/8/8/PPPPPPPP/BBRNNQKR w KQkq - 0 1,Stockfish 17.1,b4,0.12,43,939,18,12,28,101099,0.017,3
433,brnbnqkr/pppppppp/8/8/8/8/PPPPPPPP/BRNBNQKR w KQkq - 0 1,Stockfish 17.1,h4,0.24,62,926,12,11,16,100828,0.018,6
434,brnnqbkr/pppppppp/8/8/8/8/PPPPPPPP/BRNNQBKR w KQkq - 0 1,Stockfish 17.1,h4,0.34,87,904,9,12,20,101481,0.018,4
435,brnnqkrb/pppppppp/8/8/8/8/PPPPPPPP/BRNNQKRB w KQkq - 0 1,Stockfish 17.1,O-O,0.14,45,938,17,11,19,102061,0.019,3
436,rbbnnqkr/pppppppp/8/8/8/8/PPPPPPPP/RBBNNQKR w KQkq - 0 1,Stockfish 17.1,e4,0.4,107,886,7,11,19,100823,0.019,5
437,rnbbnqkr/pppppppp/8/8/8/8/PPPPPPPP/RNBBNQKR w KQkq - 0 1,Stockfish 17.1,d4,0.37,97,895,8,12,23,100175,0.02,4
438,rnbnqbkr/pppppppp/8/8/8/8/PPPPPPPP/RNBNQBKR w KQkq - 0 1,Stockfish 17.1,d4,0.36,94,898,8,13,15,100768,0.018,6
439,rnbnqkrb/pppppppp/8/8/8/8/PPPPPPPP/RNBNQKRB w KQkq - 0 1,Stockfish 17.1,g4,0.36,92,900,8,12,14,100769,0.017,4
440,rbnnbqkr/pppppppp/8/8/8/8/PPPPPPPP/RBNNBQKR w KQkq - 0 1,Stockfish 17.1,e4,0.39,102,891,7,11,19,100496,0.017,4
441,rnnbbqkr/pppppppp/8/8/8/8/PPPPPPPP/RNNBBQKR w KQkq - 0 1,Stockfish 17.1,d4,0.29,74,916,10,11,19,100891,0.017,4
442,rnnqbbkr/pppppppp/8/8/8/8/PPPPPPPP/RNNQBBKR w KQkq - 0 1,Stockfish 17.1,c4,0.32,81,910,9,13,19,100534,0.017,5
443,rnnqbkrb/pppppppp/8/8/8/8/PPPPPPPP/RNNQBKRB w KQkq - 0 1,Stockfish 17.1,c4,0.09,38,942,20,11,18,100425,0.018,4
444,rbnnqkbr/pppppppp/8/8/8/8/PPPPPPPP/RBNNQKBR w KQkq - 0 1,Stockfish 17.1,f3,0.18,51,934,15,12,18,100199,0.016,3
445,rnnbqkbr/pppppppp/8/8/8/8/PPPPPPPP/RNNBQKBR w KQkq - 0 1,Stockfish 17.1,e4,0.26,66,923,11,12,16,100606,0.018,4
446,rnnqkbbr/pppppppp/8/8/8/8/PPPPPPPP/RNNQKBBR w KQkq - 0 1,Stockfish 17.1,e4,0.41,111,882,7,10,18,100554,0.018,5
447,rnnqkrbb/pppppppp/8/8/8/8/PPPPPPPP/RNNQKRBB w KQkq - 0 1,Stockfish 17.1,g3,0.31,79,912,9,11,15,100900,0.017,4
448,bbrnnkqr/pppppppp/8/8/8/8/PPPPPPPP/BBRNNKQR w KQkq - 0 1,Stockfish 17.1,c4,0.26,68,921,11,10,12,101017,0.016,4
449,brnbnkqr/pppppppp/8/8/8/8/PPPPPPPP/BRNBNKQR w KQkq - 0 1,Stockfish 17.1,b4,0.28,72,918,10,10,15,100381,0.019,6
450,brnnkbqr/pppppppp/8/8/8/8/PPPPPPPP/BRNNKBQR w KQkq - 0 1,Stockfish 17.1,e4,0.4,107,886,7,12,23,100834,0.017,3
451,brnnkqrb/pppppppp/8/8/8/8/PPPPPPPP/BRNNKQRB w KQkq - 0 1,Stockfish 17.1,g4,0.13,44,939,17,11,16,100284,0.018,6
452,rbbnnkqr/pppppppp/8/8/8/8/PPPPPPPP/RBBNNKQR w KQkq - 0 1,Stockfish 17.1,f4,0.35,90,902,8,12,21,100760,0.017,6
453,rnbbnkqr/pppppppp/8/8/8/8/PPPPPPPP/RNBBNKQR w KQkq - 0 1,Stockfish 17.1,e4,0.99,489,510,1,10,18,100321,0.019,6
454,rnbnkbqr/pppppppp/8/8/8/8/PPPPPPPP/RNBNKBQR w KQkq - 0 1,Stockfish 17.1,d4,0.44,121,873,6,10,21,100070,0.019,5
455,rnbnkqrb/pppppppp/8/8/8/8/PPPPPPPP/RNBNKQRB w KQkq - 0 1,Stockfish 17.1,g4,0.2,55,931,14,10,18,100029,0.017,5
456,rbnnbkqr/pppppppp/8/8/8/8/PPPPPPPP/RBNNBKQR w KQkq - 0 1,Stockfish 17.1,f3,0.26,68,921,11,10,18,100269,0.019,3
457,rnnbbkqr/pppppppp/8/8/8/8/PPPPPPPP/RNNBBKQR w KQkq - 0 1,Stockfish 17.1,Nc3,0.25,65,923,12,12,18,100662,0.021,6
458,rnnkbbqr/pppppppp/8/8/8/8/PPPPPPPP/RNNKBBQR w KQkq - 0 1,Stockfish 17.1,d4,0.31,80,911,9,11,19,100077,0.016,6
459,rnnkbqrb/pppppppp/8/8/8/8/PPPPPPPP/RNNKBQRB w KQkq - 0 1,Stockfish 17.1,g4,0.27,69,920,11,9,17,100322,0.018,6
460,rbnnkqbr/pppppppp/8/8/8/8/PPPPPPPP/RBNNKQBR w KQkq - 0 1,Stockfish 17.1,e4,0.37,96,896,8,11,16,100344,0.017,6
461,rnnbkqbr/pppppppp/8/8/8/8/PPPPPPPP/RNNBKQBR w KQkq - 0 1,Stockfish 17.1,e4,0.24,62,926,12,10,21,101192,0.017,7
462,rnnkqbbr/pppppppp/8/8/8/8/PPPPPPPP/RNNKQBBR w KQkq - 0 1,Stockfish 17.1,d4,0.26,68,921,11,12,23,101226,0.017,4
463,rnnkqrbb/pppppppp/8/8/8/8/PPPPPPPP/RNNKQRBB w KQkq - 0 1,Stockfish 17.1,g3,0.19,53,933,14,10,19,102416,0.018,4
464,bbrnnkrq/pppppppp/8/8/8/8/PPPPPPPP/BBRNNKRQ w KQkq - 0 1,Stockfish 17.1,g4,0.25,65,923,12,11,18,101051,0.02,4
465,brnbnkrq/pppppppp/8/8/8/8/PPPPPPPP/BRNBNKRQ w KQkq - 0 1,Stockfish 17.1,g4,0.79,322,676,2,11,16,100309,0.019,6
466,brnnkbrq/pppppppp/8/8/8/8/PPPPPPPP/BRNNKBRQ w KQkq - 0 1,Stockfish 17.1,g3,0.34,87,904,9,10,15,100021,0.02,5
467,brnnkrqb/pppppppp/8/8/8/8/PPPPPPPP/BRNNKRQB w KQkq - 0 1,Stockfish 17.1,g4,0.22,60,927,13,11,18,100472,0.019,3
